id,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement
1,0.0,12.3,96.4,110.7,488.0,5.4,1.21,1.82,33.0
2,1.0,11.88,30.2,49.56,359.0,5.0,0.81,1.11,95.0
3,0.0,14.34,38.99,44.23,530.0,5.0,0.6,1.88,88.0
4,0.0,18.0,60.0,66.73,460.0,4.5,1.44,0.83,45.0
5,0.0,15.0,67.07,61.2,630.0,5.5,1.0,1.0,69.0
6,0.0,8.6,31.9,43.06,500.0,4.5,1.2,0.67,13.0
7,1.0,14.0,25.4,54.32,415.0,5.2,0.81,3.33,7.8
8,0.0,8.5,64.0,57.12,380.0,2.6,0.72,1.25,52.0
9,1.0,13.8,28.9,40.46,470.0,3.2,0.64,1.88,46.0
10,1.0,20.0,35.0,59.24,452.0,4.0,0.64,2.5,97.62
11,1.0,14.0,33.5,46.19,289.0,4.2,0.81,3.75,5.8
12,1.0,10.2,14.9,33.87,816.0,4.6,0.6,5.33,25.86
13,0.0,11.03,23.2,24.39,260.0,3.9,1.2,1.0,30.0
14,1.0,9.0,15.3,37.08,474.0,5.2,0.81,3.33,6.5
15,0.0,10.1,29.24,37.05,200.0,5.8,1.32,1.25,226.1
16,1.0,16.0,36.77,54.62,549.0,4.5,0.53,2.67,416.0
17,0.0,15.0,35.0,44.34,670.0,4.6,1.0,1.5,50.0
18,1.0,18.5,28.0,32.62,400.0,6.0,0.9,0.74,92.0
19,1.0,9.0,16.8,38.06,321.0,4.7,0.64,2.5,4.2
20,1.0,14.0,25.4,54.32,415.0,5.2,0.72,3.33,7.8
21,0.0,12.15,23.47,55.16,270.0,4.0,1.21,0.91,16.8
22,1.0,14.98,43.61,55.21,310.0,3.2,0.49,0.95,30.0
23,1.0,11.03,80.0,77.7,480.0,5.0,0.64,5.0,75.0
24,1.0,13.2,23.7,51.69,400.0,5.2,0.64,5.0,10.3
25,1.0,14.0,33.5,46.19,289.0,4.2,0.81,2.22,5.7
26,1.0,14.0,29.1,45.65,484.0,5.0,0.64,2.5,6.2
27,1.0,8.2,12.7,24.25,278.0,4.8,0.72,3.33,7.2
28,1.0,14.0,25.4,54.32,415.0,5.2,0.9,3.0,7.8
29,1.0,10.0,31.5,51.8,250.0,5.5,1.0,1.0,80.0
30,0.0,7.2,52.39,32.31,205.0,4.7,0.9,2.0,68.0
31,1.0,9.6,33.99,34.5,420.0,3.6,1.0,0.33,93.0
32,1.0,15.94,39.53,57.21,310.0,3.0,0.53,0.48,125.0
33,1.0,15.0,17.52,112.29,180.0,5.0,0.9,2.0,95.0
34,1.0,9.0,13.5,40.24,358.0,5.2,0.72,3.33,11.6
35,0.0,3.42,43.28,49.19,410.0,5.0,1.0,1.0,32.0
36,1.0,18.0,50.0,47.23,310.0,2.7,0.49,1.43,66.0
37,0.0,8.0,30.2,57.05,660.0,4.5,0.64,1.88,65.0
38,0.0,15.5,35.24,59.32,450.0,5.5,1.2,1.0,39.0
39,1.0,13.89,45.0,63.28,400.0,4.0,0.81,1.67,93.0
40,1.0,9.0,44.1,40.02,358.0,5.0,0.63,2.22,5.0
41,1.0,9.0,15.3,37.08,474.0,4.7,0.8,2.0,6.3
42,1.0,15.0,50.0,59.27,403.0,5.4,0.49,1.43,38.0
43,1.0,9.0,36.6,67.08,300.0,5.5,0.72,1.25,28.47
44,1.0,10.65,38.86,52.63,200.0,3.3,0.72,1.25,90.89
45,1.0,11.49,51.34,65.86,421.0,4.4,1.1,2.73,144.0
46,1.0,10.0,53.99,57.5,790.0,5.0,0.49,2.14,26.1
47,0.0,12.89,41.16,55.44,387.0,3.5,0.49,1.43,42.0
48,1.0,14.13,50.0,55.04,450.0,3.6,0.6,2.67,120.0
49,0.0,9.38,21.4,75.64,550.0,4.0,0.9,1.5,179.0
50,1.0,14.3,35.8,62.09,285.0,4.8,1.1,2.5,10.4
51,1.0,9.8,20.3,16.61,500.0,5.5,0.9,3.33,80.0
52,1.0,11.03,66.9,65.71,348.0,2.8,0.64,1.88,92.0
53,1.0,12.58,39.68,56.66,100.0,3.2,0.6,0.83,59.0
54,0.0,11.5,31.5,31.04,400.0,4.2,0.81,1.11,70.0
55,0.0,11.0,27.67,32.0,350.0,4.2,0.64,2.5,61.3
56,1.0,9.0,13.5,40.24,358.0,5.2,0.72,2.5,11.6
57,0.0,4.84,29.92,61.93,250.0,4.6,1.1,0.67,126.0
58,0.0,10.94,15.58,33.35,790.0,5.2,0.64,6.25,110.0
59,0.0,15.5,47.4,64.72,400.0,3.5,1.1,1.82,92.0
60,0.0,18.13,34.5,49.24,572.0,5.5,0.72,2.22,94.0
61,0.0,16.0,85.0,86.11,550.0,3.5,0.8,1.0,90.0
62,1.0,18.0,23.1,20.77,890.0,5.0,0.56,5.0,142.0
63,0.0,11.03,112.8,68.99,480.0,5.0,1.1,1.0,14.0
64,1.0,14.27,35.76,43.55,543.0,8.0,0.72,2.5,15.0
65,1.0,11.0,27.67,37.45,350.0,4.2,0.64,2.5,61.3
66,0.0,10.76,43.25,29.57,100.0,4.2,1.0,0.5,24.6
67,1.0,25.0,20.0,60.0,478.0,5.0,0.63,2.22,35.0
68,0.0,7.5,17.5,54.76,157.0,4.2,0.56,1.88,210.0
69,1.0,14.0,17.1,45.88,394.0,3.9,0.72,2.22,9.0
70,0.0,18.33,34.57,34.57,370.0,5.0,1.1,1.0,80.0
71,0.0,3.98,26.11,24.83,100.0,4.0,1.1,1.0,76.0
72,1.0,20.0,52.0,60.0,478.0,5.0,0.72,2.22,35.0
73,0.0,13.48,16.5,23.01,180.0,4.2,1.44,0.83,37.0
74,1.0,11.5,31.5,31.04,400.0,4.2,0.81,1.11,70.0
75,1.0,7.2,26.32,34.25,401.0,6.0,0.64,1.88,84.0
76,1.0,15.9,32.13,63.86,700.0,5.0,0.64,1.25,119.0
77,0.0,12.13,47.3,51.16,665.0,5.0,0.6,3.75,128.0
78,0.0,15.0,66.9,90.0,214.0,5.0,0.9,1.0,150.0
79,1.0,23.6,51.4,46.8,145.0,4.0,0.63,1.67,66.0
80,1.0,11.03,64.0,49.38,660.0,5.2,0.8,3.0,10.0
81,1.0,13.06,32.46,53.8,401.0,4.2,0.6,2.67,52.0
82,1.0,9.0,44.1,40.02,358.0,4.2,0.81,2.22,4.5
83,1.0,7.2,52.39,36.59,205.0,4.7,0.8,2.0,68.0
84,0.0,7.0,21.0,16.65,498.0,5.5,0.64,5.0,231.0
85,1.0,12.2,40.6,24.29,300.0,3.0,0.56,2.14,168.0
86,1.0,8.2,12.7,24.25,278.0,4.8,0.81,3.33,7.2
87,1.0,5.8,26.21,10.61,836.0,3.3,0.56,2.86,136.0
88,1.0,11.0,27.67,58.0,550.0,4.6,0.64,1.25,112.0
89,0.0,14.42,47.33,33.73,168.0,6.0,1.1,0.61,2.5
90,1.0,14.0,32.9,43.53,321.0,4.7,0.72,2.22,5.6
91,0.0,70.0,66.0,20.29,407.0,4.2,0.81,0.56,50.0
92,0.0,11.03,28.4,84.0,528.0,5.3,1.0,1.0,30.0
93,1.0,10.1,14.69,30.51,600.0,5.0,0.81,1.67,56.0
94,1.0,11.03,64.0,50.21,660.0,5.2,0.8,3.0,10.0
95,1.0,14.15,41.3,64.8,429.0,5.4,0.81,1.11,46.0
96,1.0,11.17,22.05,47.86,400.0,4.6,0.49,2.14,11.0
97,0.0,17.0,57.0,68.93,460.0,4.5,1.44,0.83,57.0
98,1.0,14.34,39.04,55.46,460.0,7.0,1.21,0.91,20.0
99,0.0,15.81,30.46,39.67,440.0,5.5,0.64,0.83,124.3
100,1.0,18.0,50.0,47.23,310.0,4.1,0.49,1.43,86.0
101,1.0,15.79,43.41,57.69,695.0,4.6,0.64,0.42,86.0
102,0.0,11.03,26.7,78.73,440.0,5.0,1.21,1.82,32.0
103,1.0,15.0,19.16,78.98,420.0,5.0,0.64,1.25,158.0
104,0.0,16.0,26.7,46.34,383.0,4.2,0.9,1.0,38.0
105,0.0,11.03,26.7,77.99,440.0,5.0,1.32,0.83,32.0
106,1.0,13.8,27.2,59.36,500.0,5.4,0.72,1.11,50.0
107,1.0,14.73,35.02,47.3,350.0,7.0,0.64,0.42,35.0
108,1.0,14.0,32.9,43.53,321.0,3.9,0.72,2.22,5.0
109,0.0,6.89,24.31,88.68,300.0,5.2,0.81,1.11,62.0
110,0.0,11.03,26.7,48.86,420.0,5.2,1.44,1.67,47.0
111,1.0,5.54,14.35,14.35,300.0,3.2,0.72,0.74,57.59
112,1.0,6.0,40.13,55.39,250.0,3.8,0.64,2.5,10.0
113,1.0,10.5,35.12,54.64,455.0,8.5,1.0,1.5,35.0
114,1.0,7.17,63.0,57.44,290.0,3.8,0.72,1.25,80.0
115,1.0,14.0,31.9,31.87,375.0,5.0,0.9,2.0,15.0
116,1.0,20.0,54.0,78.51,260.0,3.5,0.64,2.5,75.0
117,1.0,14.0,33.5,46.19,289.0,4.2,0.81,3.33,5.8
118,1.0,15.0,78.0,80.0,560.0,3.8,0.72,2.22,20.0
119,1.0,15.9,47.3,34.34,100.0,3.7,1.44,0.42,91.0
120,1.0,12.66,30.33,47.22,855.0,4.0,0.49,1.43,100.0
121,0.0,10.0,31.5,51.8,250.0,5.5,1.0,1.0,80.0
122,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0,14.0
123,0.0,13.8,27.2,50.77,260.0,4.8,1.08,0.83,103.92
124,0.0,15.0,52.8,30.51,760.0,5.0,0.9,3.0,70.0
125,0.0,14.58,37.88,50.54,429.0,4.5,0.64,1.25,74.8
126,0.0,70.0,66.0,20.29,404.0,4.2,0.9,0.5,50.0
127,1.0,10.3,15.0,37.68,800.0,5.0,0.72,5.0,300.0
128,0.0,3.98,26.11,25.77,100.0,4.0,1.1,1.0,76.0
129,1.0,9.0,18.2,37.52,358.0,4.7,0.72,3.33,4.2
130,0.0,11.49,51.34,72.97,421.0,4.4,1.1,2.73,144.0
131,1.0,8.0,30.2,45.26,200.0,2.7,0.64,1.88,105.0
132,0.0,15.0,65.0,50.0,450.0,5.6,1.0,0.67,23.0
133,1.0,13.3,18.9,27.0,374.0,4.2,0.64,6.25,13.8
134,1.0,13.8,8.1,12.22,226.0,4.0,0.63,2.14,33.8
135,1.0,10.3,15.0,70.66,850.0,5.0,0.72,2.5,150.0
136,1.0,11.0,58.0,51.18,800.0,4.2,0.56,1.88,162.0
137,1.0,11.83,32.49,57.57,600.0,7.5,0.56,0.83,70.0
138,0.0,15.0,66.9,87.95,214.0,5.0,0.9,1.0,150.0
139,1.0,3.42,43.28,49.19,410.0,5.0,0.81,1.11,32.0
140,0.0,15.0,65.0,52.75,450.0,5.6,1.0,1.0,23.0
141,0.0,9.6,45.9,23.32,660.0,5.0,0.64,3.13,348.3
142,1.0,11.03,26.7,51.35,470.0,5.0,0.9,3.0,305.0
143,1.0,15.0,62.0,59.08,403.0,4.0,0.64,1.88,268.0
144,0.0,4.84,29.92,54.74,250.0,4.6,1.1,0.67,126.0
145,1.0,9.0,18.2,37.52,358.0,5.0,0.64,2.5,4.2
146,0.0,8.6,31.9,47.2,500.0,4.5,1.1,0.67,13.0
147,1.0,15.0,35.77,44.73,450.0,3.4,1.1,1.82,110.0
148,0.0,7.44,42.1,62.97,50.0,4.2,1.0,1.0,95.0
149,1.0,11.8,15.8,44.9,535.0,5.0,0.64,1.88,28.9
150,1.0,7.3,13.4,24.98,276.0,4.5,0.81,3.33,7.1
151,0.0,15.77,32.08,47.84,423.0,3.8,0.72,1.11,454.0
152,0.0,13.58,33.5,73.49,455.0,5.2,0.8,1.5,305.0
153,1.0,14.0,17.1,45.88,394.0,4.7,0.72,2.22,10.0
154,1.0,13.53,32.29,48.64,450.0,4.0,0.64,0.63,102.0
155,1.0,11.58,36.25,59.74,600.0,5.8,1.0,1.5,75.86
156,1.0,14.0,29.1,45.65,484.0,4.2,0.63,3.33,6.4
157,0.0,8.5,46.0,15.0,320.0,3.6,0.64,1.25,120.0
