trial_number,cv_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
0,31.784441,437,5,0.061653,0.839463,0.662407,2,0.290418,4.330881,9.216168
1,33.284737,737,2,0.111355,0.932977,0.684936,2,0.917023,1.521211,8.108968
2,32.745427,489,3,0.04574,0.655798,0.716858,4,2.28035,3.92588,3.39527
3,33.457454,563,4,0.011224,0.843018,0.66821,1,4.744428,4.82816,12.221762
4,34.72383,374,2,0.054753,0.776061,0.648815,5,0.171943,4.546602,4.25231
5,32.807475,696,3,0.036412,0.818684,0.673942,10,3.875664,4.697495,13.474997
6,33.811834,638,5,0.012459,0.678393,0.618091,4,1.943386,1.356745,12.516694
7,32.073196,421,3,0.038518,0.65637,0.920879,1,4.934435,3.861224,3.381377
8,34.003097,104,5,0.05792,0.891603,0.908508,1,1.792329,0.579345,13.015
9,34.54517,661,3,0.011711,0.724393,0.730073,8,3.187787,4.436064,7.347116
10,33.051917,957,4,0.021481,0.972916,0.826245,7,0.077974,2.582432,8.772944
11,32.163402,308,4,0.086828,0.627535,0.990011,3,4.677809,3.449452,0.643245
12,32.56814,274,5,0.02961,0.738277,0.801037,2,3.138215,3.214353,5.360628
13,32.675229,408,4,0.072771,0.601635,0.984639,1,1.207775,2.676079,10.439817
14,36.42607,203,2,0.021385,0.998407,0.864802,3,2.793993,3.910876,1.982697
15,33.051535,479,3,0.030789,0.865007,0.779419,6,3.990776,2.684865,6.868393
16,32.795995,833,5,0.077268,0.779082,0.936215,3,0.967774,3.847169,10.164767
17,32.541226,535,4,0.045888,0.697291,0.87587,2,4.069969,3.397078,14.919959
18,33.731452,365,3,0.019403,0.915765,0.747683,4,2.819873,2.245205,5.556737
19,35.255053,221,2,0.0385,0.795957,0.935234,1,0.540582,4.194877,10.005395
20,31.829253,423,5,0.11888,0.743287,0.606008,5,1.597273,0.058105,2.879468
21,31.396628,443,5,0.09214,0.738701,0.600677,9,1.549887,0.086792,2.624353
22,30.913176,553,5,0.1196,0.746329,0.610007,10,1.584176,0.064696,1.294497
23,31.36152,600,5,0.094401,0.826201,0.639767,10,1.400317,0.069446,0.909621
24,31.281524,595,5,0.094083,0.760174,0.628532,10,2.245849,0.063256,0.885988
25,30.635894,794,5,0.100792,0.790702,0.633705,10,2.299533,0.639793,0.514925
26,31.370289,830,5,0.10465,0.774169,0.701469,9,2.145072,0.705712,1.597518
27,31.50861,832,4,0.07251,0.706807,0.623657,9,2.391282,0.734944,0.593958
28,30.898409,741,5,0.11909,0.797169,0.637302,10,2.498169,1.27051,1.866029
29,32.473991,949,5,0.117624,0.809034,0.661375,8,2.773923,1.147214,4.622599
30,31.798603,779,5,0.066022,0.859585,0.696058,8,3.522461,1.859752,2.263145
31,31.077384,719,5,0.087063,0.762449,0.633375,10,2.404507,0.442161,1.595652
32,31.424291,729,5,0.08291,0.798433,0.638959,10,2.481979,0.472988,1.672224
33,31.381271,900,5,0.105119,0.706891,0.655,9,1.890946,0.993636,3.966308
34,31.705465,769,4,0.102964,0.761363,0.682241,10,0.851511,1.608108,1.596409
35,31.69155,896,5,0.065229,0.830657,0.601067,9,2.537785,0.466636,3.428513
36,31.328336,659,4,0.082616,0.858857,0.720743,10,3.234077,0.819524,3.136097
37,32.327596,708,5,0.119534,0.793634,0.667555,8,1.987505,1.235086,1.480601
38,31.923274,518,4,0.05425,0.671753,0.640959,9,1.109513,0.378897,4.79612
39,31.523261,767,5,0.100316,0.891773,0.698357,10,1.701121,1.625128,2.393537
40,32.591863,602,5,0.049056,0.758829,0.743034,7,2.102765,0.997813,4.006591
41,31.48735,580,5,0.087627,0.757769,0.623752,10,2.329778,0.266018,1.181615
42,31.561539,629,5,0.095885,0.776892,0.624947,10,2.659478,0.327352,0.605111
43,31.219439,668,5,0.075638,0.729443,0.653833,9,2.954414,0.91976,2.192142
44,31.248337,688,5,0.073569,0.724575,0.675783,9,3.064961,1.350981,2.187559
45,31.395135,794,5,0.064486,0.686795,0.652762,9,3.327337,1.84722,3.496459
46,31.969873,716,5,0.109057,0.723242,0.657765,8,3.527074,1.03236,2.770212
47,32.602889,665,4,0.080598,0.841761,0.680632,7,2.95729,0.830074,2.057482
48,31.234935,879,5,0.054242,0.813057,0.617033,10,2.541823,0.605453,1.171034
49,31.943114,750,5,0.109164,0.636129,0.705782,8,3.767195,1.423054,5.830145
50,31.301713,539,4,0.070645,0.72055,0.643212,9,1.281819,0.907961,3.60749
51,31.860045,858,5,0.088385,0.81319,0.614022,10,2.622427,0.369576,1.370027
52,31.376684,895,5,0.052553,0.788612,0.617911,10,2.928779,0.594124,1.050635
53,31.435525,974,5,0.056736,0.745731,0.634594,9,1.937775,0.61212,1.979716
