test_sample_index,case_rank,similar_case_index,similarity,distance,case_roof_displacement,case_fracture_degree,case_coal_strength,case_floor_strength,case_roof_strength,case_depth,case_width,case_bolt_area,case_anchor_density
0,1,145,0.395253,1.530026,92.0,0.0,15.5,47.4,64.72,400.0,3.5,1.1,1.82
0,2,18,0.354911,1.817608,32.0,0.0,11.03,26.7,78.73,440.0,5.0,1.21,1.82
0,3,65,0.32105,2.114784,144.0,1.0,11.49,51.34,65.86,421.0,4.4,1.1,2.73
0,4,57,0.303466,2.295264,39.0,0.0,15.5,36.7,64.54,450.0,5.5,1.1,1.0
0,5,93,0.298319,2.352111,14.0,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0
1,1,67,1.0,0.0,5.0,1.0,14.0,31.9,32.04,375.0,4.7,0.8,2.0
1,2,106,0.703015,0.422444,49.0,1.0,14.0,27.6,26.03,396.0,4.7,0.8,2.0
1,3,132,0.635929,0.572501,15.0,1.0,14.0,31.9,31.87,375.0,5.0,0.9,2.0
1,4,173,0.548022,0.824743,5.6,1.0,14.0,32.9,43.53,321.0,4.7,0.72,2.22
1,5,116,0.483881,1.066623,70.0,1.0,11.5,31.5,31.04,400.0,4.2,0.81,1.11
2,1,47,1.0,0.0,35.0,1.0,20.0,52.0,60.0,478.0,5.0,0.72,2.22
2,2,123,0.391985,1.55112,97.62,1.0,20.0,35.0,59.24,452.0,4.0,0.64,2.5
2,3,26,0.385163,1.596306,46.0,1.0,14.15,41.3,64.8,429.0,5.4,0.81,1.11
2,4,51,0.383849,1.605194,54.0,1.0,16.03,35.03,51.57,521.0,4.8,0.9,1.5
2,5,44,0.370921,1.695993,93.0,1.0,13.89,45.0,63.28,400.0,4.0,0.81,1.67
3,1,168,1.0,0.0,9.0,1.0,14.0,17.1,45.88,394.0,3.9,0.72,2.22
3,2,163,0.519332,0.925552,10.0,1.0,14.0,17.1,45.88,394.0,4.7,0.72,2.22
3,3,109,0.506851,0.972966,5.0,1.0,14.0,32.9,43.53,321.0,3.9,0.72,2.22
3,4,55,0.487929,1.049478,61.3,1.0,11.0,27.67,37.45,350.0,4.2,0.64,2.5
3,5,28,0.451147,1.216572,52.0,1.0,13.06,32.46,53.8,401.0,4.2,0.6,2.67
4,1,126,0.717975,0.392805,126.0,0.0,4.84,29.92,61.93,250.0,4.6,1.1,0.67
4,2,83,0.434673,1.300579,103.92,0.0,13.8,27.2,50.77,260.0,4.8,1.08,0.83
4,3,160,0.418929,1.38704,80.0,0.0,10.0,31.5,51.8,250.0,5.5,1.0,1.0
4,4,68,0.417937,1.392707,16.8,0.0,12.15,23.47,55.16,270.0,4.0,1.21,0.91
4,5,75,0.406379,1.460756,32.0,0.0,3.42,43.28,49.19,410.0,5.0,1.0,1.0
5,1,167,1.0,0.0,4.2,1.0,9.0,16.8,38.06,321.0,4.7,0.64,2.5
5,2,148,0.702697,0.423089,4.2,1.0,9.0,18.2,37.52,358.0,5.0,0.64,2.5
5,3,141,0.570857,0.751752,11.6,1.0,9.0,13.5,40.24,358.0,5.2,0.72,2.5
5,4,152,0.534228,0.87186,4.2,1.0,9.0,18.2,37.52,358.0,4.7,0.72,3.33
5,5,55,0.529631,0.888107,61.3,1.0,11.0,27.67,37.45,350.0,4.2,0.64,2.5
6,1,8,0.477565,1.093954,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
6,2,80,0.470258,1.12649,86.0,1.0,15.79,43.41,57.69,695.0,4.6,0.64,0.42
6,3,84,0.434933,1.299204,112.0,1.0,11.0,27.67,58.0,550.0,4.6,0.64,1.25
6,4,154,0.408501,1.447976,50.0,1.0,13.8,27.2,59.36,500.0,5.4,0.72,1.11
6,5,51,0.358661,1.788148,54.0,1.0,16.03,35.03,51.57,521.0,4.8,0.9,1.5
7,1,26,0.4566,1.190102,46.0,1.0,14.15,41.3,64.8,429.0,5.4,0.81,1.11
7,2,60,0.42403,1.358325,95.0,1.0,11.88,30.2,49.56,359.0,5.0,0.81,1.11
7,3,154,0.391098,1.556901,50.0,1.0,13.8,27.2,59.36,500.0,5.4,0.72,1.11
7,4,172,0.384485,1.600882,80.0,1.0,10.0,31.5,51.8,250.0,5.5,1.0,1.0
7,5,31,0.380136,1.630638,32.0,1.0,3.42,43.28,49.19,410.0,5.0,0.81,1.11
8,1,95,0.445938,1.242464,70.0,1.0,11.03,26.7,53.38,468.0,6.0,0.64,1.88
8,2,148,0.413467,1.418571,4.2,1.0,9.0,18.2,37.52,358.0,5.0,0.64,2.5
8,3,141,0.412692,1.423114,11.6,1.0,9.0,13.5,40.24,358.0,5.2,0.72,2.5
8,4,103,0.412076,1.426736,11.5,1.0,9.0,13.5,40.24,358.0,5.2,0.72,1.25
