id,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement,outlier_variables
1,0.0,12.3,96.4,110.7,488.0,5.4,1.21,1.82,33.0,"floor_strength, roof_strength"
12,1.0,10.2,14.9,33.87,816.0,4.6,0.6,5.33,25.86,"depth, anchor_density"
15,0.0,10.1,29.24,37.05,200.0,5.8,1.32,1.25,226.1,roof_displacement
16,1.0,16.0,36.77,54.62,549.0,4.5,0.53,2.67,416.0,roof_displacement
23,1.0,11.03,80.0,77.7,480.0,5.0,0.64,5.0,75.0,"floor_strength, anchor_density"
24,1.0,13.2,23.7,51.69,400.0,5.2,0.64,5.0,10.3,anchor_density
33,1.0,15.0,17.52,112.29,180.0,5.0,0.9,2.0,95.0,roof_strength
46,1.0,10.0,53.99,57.5,790.0,5.0,0.49,2.14,26.1,depth
58,0.0,10.94,15.58,33.35,790.0,5.2,0.64,6.25,110.0,"depth, anchor_density"
61,0.0,16.0,85.0,86.11,550.0,3.5,0.8,1.0,90.0,floor_strength
62,1.0,18.0,23.1,20.77,890.0,5.0,0.56,5.0,142.0,"depth, anchor_density"
63,0.0,11.03,112.8,68.99,480.0,5.0,1.1,1.0,14.0,floor_strength
64,1.0,14.27,35.76,43.55,543.0,8.0,0.72,2.5,15.0,width
67,1.0,25.0,20.0,60.0,478.0,5.0,0.63,2.22,35.0,coal_strength
68,0.0,7.5,17.5,54.76,157.0,4.2,0.56,1.88,210.0,roof_displacement
79,1.0,23.6,51.4,46.8,145.0,4.0,0.63,1.67,66.0,coal_strength
84,0.0,7.0,21.0,16.65,498.0,5.5,0.64,5.0,231.0,"anchor_density, roof_displacement"
87,1.0,5.8,26.21,10.61,836.0,3.3,0.56,2.86,136.0,depth
91,0.0,70.0,66.0,20.29,407.0,4.2,0.81,0.56,50.0,coal_strength
98,1.0,14.34,39.04,55.46,460.0,7.0,1.21,0.91,20.0,width
107,1.0,14.73,35.02,47.3,350.0,7.0,0.64,0.42,35.0,width
113,1.0,10.5,35.12,54.64,455.0,8.5,1.0,1.5,35.0,width
118,1.0,15.0,78.0,80.0,560.0,3.8,0.72,2.22,20.0,floor_strength
120,1.0,12.66,30.33,47.22,855.0,4.0,0.49,1.43,100.0,depth
122,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0,14.0,floor_strength
126,0.0,70.0,66.0,20.29,404.0,4.2,0.9,0.5,50.0,coal_strength
127,1.0,10.3,15.0,37.68,800.0,5.0,0.72,5.0,300.0,"depth, anchor_density, roof_displacement"
133,1.0,13.3,18.9,27.0,374.0,4.2,0.64,6.25,13.8,anchor_density
135,1.0,10.3,15.0,70.66,850.0,5.0,0.72,2.5,150.0,depth
136,1.0,11.0,58.0,51.18,800.0,4.2,0.56,1.88,162.0,depth
137,1.0,11.83,32.49,57.57,600.0,7.5,0.56,0.83,70.0,width
141,0.0,9.6,45.9,23.32,660.0,5.0,0.64,3.13,348.3,roof_displacement
142,1.0,11.03,26.7,51.35,470.0,5.0,0.9,3.0,305.0,roof_displacement
143,1.0,15.0,62.0,59.08,403.0,4.0,0.64,1.88,268.0,roof_displacement
151,0.0,15.77,32.08,47.84,423.0,3.8,0.72,1.11,454.0,roof_displacement
152,0.0,13.58,33.5,73.49,455.0,5.2,0.8,1.5,305.0,roof_displacement
161,0.0,11.03,85.0,57.58,420.0,3.7,1.0,1.0,49.2,floor_strength
163,1.0,1.8,35.8,95.34,550.0,2.8,0.49,0.95,113.33,"coal_strength, roof_strength"
164,1.0,11.0,27.67,51.57,700.0,4.5,0.64,2.5,326.0,roof_displacement
167,1.0,6.0,25.0,39.86,495.0,5.0,0.64,5.0,33.0,anchor_density
177,1.0,10.3,15.0,76.1,850.0,5.0,0.72,2.5,150.0,depth
182,1.0,11.03,112.8,77.7,480.0,5.0,0.64,5.0,75.0,"floor_strength, anchor_density"
184,1.0,15.0,78.0,79.0,560.0,3.8,0.72,2.22,20.0,floor_strength
192,1.0,10.94,24.56,49.48,704.0,3.85,0.64,1.25,248.0,roof_displacement
194,0.0,11.17,22.05,43.08,620.0,4.6,0.64,1.25,220.0,roof_displacement
199,0.0,6.64,24.31,65.48,348.0,4.0,0.9,1.0,370.0,roof_displacement
