feature,bin_id,bin_left,bin_right,bin_center,sample_count,mean_feature_value,mean_shap_value,std_shap_value,marginal_effect
depth,1,180.0,321.0,250.5,7,259.5714,1.831212,10.28572,0.0
depth,2,321.0,401.0,361.0,7,370.5714,-8.781112,2.374012,-0.095607
depth,3,401.0,460.0,430.5,7,418.2857,0.160319,6.420369,0.187395
depth,4,460.0,630.0,545.0,7,481.4286,-12.389012,3.188002,-0.198745
depth,5,630.0,890.0,760.0,8,767.875,24.726404,22.509565,0.129572
roof_strength,1,10.61,32.0,21.305,7,22.4829,-3.751458,5.612519,0.0
roof_strength,2,32.0,45.88,38.94,7,36.48,-6.952751,2.899113,-0.228711
roof_strength,3,45.88,53.8,49.84,7,48.0143,-6.69875,4.008683,0.022021
roof_strength,4,53.8,63.86,58.83,7,57.6857,0.256072,4.205928,0.719112
roof_strength,5,63.86,110.7,87.28,8,78.2438,18.990976,10.858126,0.911315
anchor_density,1,0.5,1.11,0.805,7,0.7971,1.87742,2.907151,0.0
anchor_density,2,1.11,1.67,1.39,7,1.2157,6.40657,0.955931,10.819756
anchor_density,3,1.67,2.22,1.945,6,1.895,-4.556186,7.487373,-16.138313
anchor_density,4,2.22,2.5,2.36,3,2.22,-13.691813,3.308651,-28.109622
anchor_density,5,2.5,5.0,3.75,13,2.8531,-7.496081,6.153637,9.78634
floor_strength,1,12.7,23.2,17.95,7,16.5314,-4.061447,6.016908,0.0
floor_strength,2,23.2,29.1,26.15,7,26.4143,3.064209,5.216952,0.721009
floor_strength,3,29.1,32.46,30.78,7,30.9686,6.750297,4.426452,0.809364
floor_strength,4,32.46,51.34,41.9,7,35.3257,0.98164,1.817523,-1.323967
floor_strength,5,51.34,96.4,73.87,8,63.8512,0.116637,13.024799,-0.030324
coal_strength,1,4.84,9.0,6.92,5,6.928,-4.325663,2.587034,0.0
coal_strength,2,9.0,11.5,10.25,9,10.32,0.671293,6.166989,1.473159
coal_strength,3,11.5,14.0,12.75,6,12.7367,-2.217467,3.106477,-1.195332
coal_strength,4,14.0,15.0,14.5,7,14.1314,-8.644148,0.611302,-4.607931
coal_strength,5,15.0,70.0,42.5,9,23.5444,6.476464,3.461727,1.606354
