model,short_name,train_R2,train_MAE,train_RMSE,test_R2,test_MAE,test_RMSE,test_SMAPE,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std
Dummy Regressor,DummyRegressor,0.0,35.4292,42.2287,-0.0002,36.801,44.3942,71.5052,-0.078,0.1147,42.4998,5.5244
Ridge Regression,Ridge,0.1863,32.7509,38.0936,0.2287,30.1617,38.985,62.8414,0.0493,0.2379,39.4326,6.2754
ElasticNet,ElasticNet,0.1854,32.7884,38.113,0.2171,30.478,39.277,63.3492,0.0562,0.2193,39.3599,6.0794
SVR (RBF),SVR,0.3667,24.4401,33.6062,0.3046,28.6749,37.0183,58.7808,0.1722,0.2599,36.7844,8.1249
ANN Neural Network,ANN,0.9746,4.4629,6.73,0.4705,23.2479,32.3012,49.8739,-0.2903,0.6674,44.2477,10.8513
Random Forest,RandomForest,0.9155,9.5315,12.2783,0.743,18.3647,22.5043,42.2151,0.4684,0.2752,28.2894,10.5134
Gradient Boosting,GradientBoosting,0.9818,4.2765,5.6978,0.7987,15.1379,19.9146,38.0117,0.4456,0.278,28.9842,9.2315
AdaBoost,AdaBoost,0.6363,23.0128,25.468,0.6208,24.1391,27.3353,57.7027,0.3313,0.2226,32.861,7.6008
XGBoost,XGBoost,0.9824,4.2177,5.6009,0.8512,13.2433,17.1212,38.1153,0.485,0.248,28.2658,9.7623
LightGBM,LightGBM,0.784,15.3261,19.6254,0.7129,17.4667,23.786,45.0929,0.3986,0.3021,30.6315,10.6022
CatBoost,CatBoost,0.8668,12.7028,15.4143,0.7733,17.8066,21.1339,46.1753,0.4164,0.2958,30.0581,10.5481
