seed,Train_R2,Train_RMSE,Test_R2,Test_MAE,Test_RMSE,full_mean,full_std,full_median,full_min,full_max,train_mean,train_std,train_median,train_min,train_max,test_mean,test_std,test_median,test_min,test_max,mean_diff,std_diff,median_diff,max_diff,stable_score
0,0.986321,5.015839,0.398431,23.763352,32.105362,58.140398,42.802205,52.0,2.7,179.0,56.690714,43.039442,50.0,2.7,179.0,63.778056,41.98092,64.65,4.5,150.0,5.637658,0.821285,12.65,29.0,0.329829
1,0.980652,5.808769,0.430649,26.628711,34.293179,58.140398,42.802205,52.0,2.7,179.0,56.3935,41.910889,52.5,2.7,162.0,64.933889,46.092983,50.0,5.0,179.0,6.793491,3.290777,2.0,0.0,0.380809
2,0.985117,5.290635,0.110403,29.293184,37.270907,58.140398,42.802205,52.0,2.7,179.0,59.406571,43.522355,55.3,2.7,179.0,53.216389,40.076562,47.7,5.0,158.0,4.924009,2.725643,4.3,21.0,0.064706
3,0.985882,4.99113,0.579334,20.234859,29.139955,58.140398,42.802205,52.0,2.7,179.0,56.994429,42.157482,51.0,4.2,179.0,62.596944,45.565648,53.0,2.7,158.0,4.456547,2.763443,1.0,21.0,0.545761
4,0.982443,5.528046,0.560943,22.389513,30.61452,58.140398,42.802205,52.0,2.7,179.0,57.797143,41.869594,52.5,2.7,162.0,59.475278,46.858036,46.0,4.2,179.0,1.33488,4.055831,6.0,0.0,0.524101
5,0.983206,5.503052,0.585207,20.719796,27.826875,58.140398,42.802205,52.0,2.7,179.0,59.318143,42.61682,53.5,4.2,179.0,53.560278,43.819362,47.7,2.7,158.0,4.58012,1.017156,4.3,21.0,0.546355
6,0.985163,4.962018,0.387876,29.755285,38.097396,58.140398,42.802205,52.0,2.7,179.0,56.077214,40.883387,50.0,4.2,162.0,66.163889,49.384732,57.3,2.7,179.0,8.023491,6.582527,5.3,0.0,0.312111
7,0.983267,5.649766,0.560103,18.128889,25.029835,58.140398,42.802205,52.0,2.7,179.0,59.962929,43.832668,54.3,2.7,179.0,51.052778,38.273635,48.25,5.0,144.0,7.08762,4.52857,3.75,35.0,0.499829
8,0.985989,4.961082,0.36924,23.913929,31.679634,58.140398,42.802205,52.0,2.7,179.0,53.098929,42.062773,48.0,2.7,179.0,77.746111,40.454358,78.0,6.3,162.0,19.605713,2.347848,26.0,17.0,0.186168
9,0.983008,5.363698,0.567584,23.038774,31.61071,58.140398,42.802205,52.0,2.7,179.0,57.393,41.294959,52.5,2.7,179.0,61.046944,48.752924,50.6,4.2,162.0,2.906547,5.950719,1.4,17.0,0.530999
10,0.986464,5.013482,0.041405,30.595146,40.065626,58.140398,42.802205,52.0,2.7,179.0,58.856929,43.246685,52.5,2.7,162.0,55.353889,41.502253,46.5,5.0,179.0,2.786509,1.299952,5.5,0.0,0.007073
11,0.983579,5.388393,0.381236,25.408488,35.063661,58.140398,42.802205,52.0,2.7,179.0,56.641786,42.200039,50.0,2.7,179.0,63.968333,45.207668,55.3,5.0,158.0,5.827936,2.405463,3.3,21.0,0.33498
