seed,Train_R2,Train_RMSE,Test_R2,Test_MAE,Test_RMSE,full_mean,full_std,full_median,full_min,full_max,train_mean,train_std,train_median,train_min,train_max,test_mean,test_std,test_median,test_min,test_max,mean_diff,std_diff,median_diff,max_diff,stable_score
198,0.982409,5.600875,0.851236,13.243327,17.121159,58.140398,42.802205,52.0,2.7,179.0,58.014429,42.380365,53.5,2.7,179.0,58.630278,45.019654,50.0,4.2,150.0,0.48988,2.217449,2.0,29.0,0.836135
172,0.977867,6.34209,0.804649,14.234086,18.936846,58.140398,42.802205,52.0,2.7,179.0,58.531357,42.782329,52.0,2.7,179.0,56.62,43.452725,47.5,4.2,150.0,1.520398,0.65052,4.5,29.0,0.781595
447,0.981002,5.858633,0.798941,15.071444,19.420777,58.140398,42.802205,52.0,2.7,179.0,58.577286,42.658244,52.0,2.7,179.0,56.441389,43.926078,56.5,4.2,150.0,1.699009,1.123873,4.5,29.0,0.773575
180,0.983426,5.502316,0.788792,14.524723,19.505687,58.140398,42.802205,52.0,2.7,179.0,58.304929,42.893187,54.0,2.7,179.0,57.500556,43.04508,47.5,5.0,150.0,0.639842,0.242874,4.5,29.0,0.771364
16,0.981964,5.588958,0.791039,15.457197,21.296665,58.140398,42.802205,52.0,2.7,179.0,58.109429,41.76558,54.5,2.7,179.0,58.260833,47.249439,49.1,4.2,150.0,0.120436,4.447234,2.9,29.0,0.768396
48,0.979442,6.144275,0.765757,15.919276,20.287544,58.140398,42.802205,52.0,2.7,179.0,58.755786,43.006686,53.5,2.7,179.0,55.747222,42.512153,49.1,4.2,150.0,2.393176,0.290052,2.9,29.0,0.744221
242,0.984279,5.309963,0.751973,15.725186,21.883653,58.140398,42.802205,52.0,2.7,179.0,58.1185,42.502254,52.5,2.7,179.0,58.225556,44.564343,48.5,4.2,150.0,0.085158,1.762138,3.5,29.0,0.735761
31,0.982429,5.665739,0.742062,14.510607,21.546543,58.140398,42.802205,52.0,2.7,179.0,58.372571,42.896323,52.0,2.7,179.0,57.2375,43.026572,53.0,4.2,150.0,0.902898,0.224367,1.0,29.0,0.733874
367,0.982092,5.7312,0.754954,15.136575,20.725434,58.140398,42.802205,52.0,2.7,179.0,59.163429,42.980995,52.5,2.7,179.0,54.161944,42.461691,49.6,4.5,142.0,3.978453,0.340514,2.4,37.0,0.72684
263,0.985401,5.161462,0.740082,16.138011,21.664386,58.140398,42.802205,52.0,2.7,179.0,58.571,42.871002,52.5,4.2,179.0,56.465833,43.096854,49.1,2.7,150.0,1.674564,0.294649,2.9,29.0,0.722125
277,0.97876,6.240737,0.794124,13.994993,18.561821,58.140398,42.802205,52.0,2.7,179.0,60.447571,42.97517,55.3,2.7,179.0,49.168056,41.48922,44.25,5.0,150.0,8.972342,1.312985,7.75,29.0,0.722074
417,0.983291,5.489043,0.710916,18.278288,23.39152,58.140398,42.802205,52.0,2.7,179.0,58.277071,42.61702,51.0,4.2,179.0,57.608889,44.122881,53.5,2.7,150.0,0.531509,1.320676,1.5,29.0,0.699797
331,0.982077,5.651504,0.723136,17.445974,23.290592,58.140398,42.802205,52.0,2.7,179.0,57.211929,42.365429,51.0,2.7,179.0,61.751111,44.891517,53.0,5.0,150.0,3.610713,2.089312,1.0,29.0,0.695814
329,0.980759,5.897302,0.704911,16.683687,23.529151,58.140398,42.802205,52.0,2.7,179.0,58.306857,42.667026,51.0,4.2,179.0,57.493056,43.928524,53.0,2.7,150.0,0.647342,1.126318,1.0,29.0,0.695295
238,0.977341,6.281975,0.720912,16.524947,24.310914,58.140398,42.802205,52.0,2.7,179.0,57.253786,41.882862,53.5,2.7,179.0,61.588333,46.671129,49.75,5.0,150.0,3.447936,3.868924,2.25,29.0,0.685316
452,0.984261,5.419224,0.730296,14.952654,20.784186,58.140398,42.802205,52.0,2.7,179.0,56.560071,43.3519,50.0,2.7,179.0,64.286111,40.588831,57.5,4.2,150.0,6.145713,2.213374,5.5,29.0,0.676427
77,0.981877,5.766785,0.691921,17.737096,23.337148,58.140398,42.802205,52.0,2.7,179.0,58.452786,42.990493,55.3,2.7,179.0,56.925556,42.641655,48.0,5.0,150.0,1.214842,0.160551,4.0,29.0,0.673365
20,0.986585,5.118464,0.717371,13.809034,19.162061,58.140398,42.802205,52.0,2.7,179.0,58.935929,44.349943,50.0,2.7,179.0,55.046667,36.555376,55.795,5.0,150.0,3.093731,6.24683,3.795,29.0,0.671777
366,0.982399,5.561259,0.718229,18.371041,24.085999,58.140398,42.802205,52.0,2.7,179.0,58.976214,42.069392,52.5,4.2,179.0,54.89,46.018628,45.0,2.7,150.0,3.250398,3.216423,7.0,29.0,0.671328
327,0.980814,5.772895,0.740945,17.947042,23.377792,58.140398,42.802205,52.0,2.7,179.0,56.671857,41.827034,50.0,2.7,179.0,63.851389,46.582752,64.65,4.2,150.0,5.710991,3.780547,12.65,29.0,0.663099
